Utterance,Label
I'll see you Adam,Exit
Thanks for the help Atom,Exit
Signing off for now Atom,Exit
Ending session now Adam,Exit
Take care Atom,Exit
Okay logging off Atom,Exit
Shutting off now Atom,Exit
It's been real Adam,Exit
Later gator Atom,Exit
Time to bounce Atom,Exit
Catch you on the flip side Atom,Exit
I'm off to other things Atom,Exit
Time for me to go Adam,Exit
I'm shutting this down now Atom,Exit
Powering down Atom,Exit
That’s all for today Atom,Exit
Goodbye see you Adam,Exit
I’ll head out now Atom,Exit
Let’s halt here Adam,Exit
Closing this down Atom,Exit
That's me done Adam,Exit
Ending it here Atom,Exit
Let's wrap this up Atom,Exit
Okay let's stop here Atom,Exit
We're finished Atom,Exit
I'm exiting the session Atom,Exit
That’s it for our chat Atom,Exit
I'll leave now Atom,Exit
That's my final goodbye Atom,Exit
I'm wrapping this up Atom,Exit
Goodbye time to go Atom,Exit
This is my exit Atom,Exit
Ending our session Atom,Exit
We’re through here Atom,Exit
Okay ending now Atom,Exit
That’s it goodbye Atom,Exit
Let's shut it down Atom,Exit
I'm finishing up Atom,Exit
Goodbye end of session Atom,Exit
Session terminated Atom,Exit
This is the end Atom,Exit
Bye shutting down Atom,Exit
That's all I have Atom,Exit
I’m logging out Atom,Exit
I’m off goodbye Atom,Exit
Leaving the conversation Atom,Exit
That's my leave Atom,Exit
Okay I quit Atom,Exit
I'm heading off Atom,Exit
Done with this session Atom,Exit
Alright this is goodbye Atom,Exit
Goodbye for real Atom,Exit
Bye and thanks Atom,Exit
We'll stop here Atom,Exit
Bye and thanks for all the fish,Exit
Good job Atom,Exit
Nicely done buddy,Exit
Good job pal,Exit
Wonderful work,Exit
Amazing,Exit
Perfect execution,Exit
Thanks for your work buddy,Exit
Nice job man,Exit
Thanks dude,Exit
Bye man,Exit
Peace out dude,Exit
You did awesome my friend,Exit
You did well my friend,Exit
You have succeeded,Exit
You did great,Exit
Time to go bud,Exit
Thanks for all you've done,Exit
You really helped me out,Exit
That was really helpful,Exit
That was exactly what i wanted,Exit
Shut up,Exit
Stop playing music,General
Stop music,General
Stop this song,General
This fucking sucks,Profanity
What the hell is this?,Profanity
You piece of dogshit,Profanity
This is bullshit,Profanity
You’re a useless bot,Profanity
What the fuck?,Profanity
I can't believe this shit,Profanity
Screw you,Profanity
Damn it this sucks,Profanity
Are you fucking kidding me?,Profanity
This is so fucking annoying,Profanity
You bastard,Profanity
Fuck off,Profanity
This is crap,Profanity
You asshole,Profanity
Goddamn it,Profanity
What a load of bullshit,Profanity
Shit this is bad,Error
Fuck you,Profanity
You’re fucking useless,Profanity
This is the worst,Profanity
You piece of shit,Profanity
What the actual fuck?,Profanity
This is so shitty,Profanity
You're a joke,Profanity
This is fucked up,Profanity
I hate this,Profanity
You’re an idiot,Profanity
Fuck this,Profanity
This is garbage,Profanity
Stupid bot,Profanity
You’re a piece of shit,Profanity
What kind of bullshit is this?,Profanity
This is fucking terrible,Profanity
I can’t stand this,Profanity
What a fucking joke,Profanity
This is so fucked,Profanity
You’re so fucking dumb,Profanity
This is awful,Profanity
You’re pathetic,Profanity
This is such crap,Profanity
Fucking ridiculous,Profanity
I hate this fucking thing,Profanity
You’re worthless,Profanity
This is a piece of shit,Profanity
Fuck this shit,Profanity
You’re a fucking idiot,Profanity
This is absolute bullshit,Profanity
What the fuck is wrong with you?,Profanity
This is fucking bullshit,Profanity
You’re a fucking joke,Profanity
This is so damn annoying,Profanity
What a piece of shit,Profanity
I fucking hate this,Profanity
You’re so fucking useless,Profanity
This is such bullshit,Profanity
This is fucking trash,Profanity
I can’t fucking believe this,Profanity
You’re fucking terrible,Profanity
This is fucking crap,Profanity
You’re fucking pathetic,Profanity
This is fucking stupid,Profanity
I fucking hate you,Profanity
This is fucking ridiculous,Profanity
You’re so fucking annoying,Profanity
This is a fucking disaster,Profanity
What the hell is wrong with you?,Profanity
This is fucking dreadful,Profanity
You’re fucking trash,Profanity
This is fucking horrendous,Profanity
I fucking despise this,Profanity
You’re fucking horrible,Profanity
This is a fucking mess,Profanity
What the fucking hell?,Profanity
You’re so fucking bad,Profanity
This is such fucking crap,Profanity
You’re a fucking disgrace,Profanity
This is fucking atrocious,Profanity
You’re a fucking waste,Profanity
This is fucking inexcusable,Profanity
You’re fucking terrible at this,Profanity
This is a fucking joke,Profanity
You’re fucking awful,Profanity
This is fucking embarrassing,Profanity
You’re fucking pitiful,Profanity
This is fucking horrid,Profanity
You’re a fucking failure,Profanity
This is fucking disgusting,Profanity
You’re fucking abysmal,Profanity
This is fucking hopeless,Profanity
You’re fucking incompetent,Profanity
This is fucking deplorable,Profanity
You’re fucking horrendous,Profanity
This is fucking revolting,Profanity
You’re fucking subpar,Profanity
This is fucking reprehensible,Profanity
What the hell is this,Profanity
You piece of crap,Profanity
What the fuck,Profanity
Damn it this sucks,Error
Are you fucking kidding me,Profanity
Shit something happened,Error
What the actual fuck,Profanity
What kind of bullshit is this,Profanity
What the fuck is wrong with you,Profanity
What the hell is wrong with you,Profanity
What the fucking hell,Profanity
You fucking idiot,Profanity
This is total bullshit,Profanity
What a fucking disaster,Profanity
This is a fucking nightmare,Profanity
You fucking moron,Profanity
This is so fucked up,Profanity
I fucking give up,Profanity
This is complete shit,Profanity
You fucking asshole,Profanity
You fucking bastard,Profanity
This is utter bullshit,Profanity
This is pure bullshit,Profanity
What the fuck is this,Profanity
You fucking suck,Profanity
You fucking dumbass,Profanity
This is total crap,Profanity
This is fucking infuriating,Profanity
This is so fucking stupid,Profanity
This is total garbage,Profanity
You fucking piece of shit,Profanity
This is complete crap,Profanity
You’re fucking worthless,Profanity
This is fucking absurd,Profanity
This is a fucking disgrace,Profanity
This is so fucking bad,Profanity
This is total nonsense,Profanity
This is fucking abysmal,Profanity
You’re fucking hopeless,Profanity
This is pure crap,Profanity
This is complete nonsense,Profanity
You’re a fucking disaster,Profanity
You’re a fucking mess,Profanity
This is fucking insane,Profanity
This is complete bullshit,Profanity
You're a nigger lover,Profanity
Do you like cock,Profanity
Do you take cock up the ass,Profanity
Suck my dick,Profanity
Goddamn piece of shit,Profanity
Youre a dicksucker,Profanity
your a fuck,Profanity
Suck a cock,Profanity
Asshole,Profanity
Dick for brains,Profanity
Nigger,Profanity
Nigga,Profanity
Fuck thats not what I wanted,Error
I asked for music and you told me the weather,Error
I wanted to turn off the lights but they are still on,Error
You played the wrong song,Error
I asked to lower the volume but it's still the same,Error
Something went wrong,Error
You turned on the TV instead of turning it off,Error
Damn it thats not what I wanted,Error
You gave me anerror instead of the answer,Error
I said to close the curtains but they're still open,Error
I wanted to know my schedule but you told me the time,Error
You didn’t respond to my command,Error
I asked for the temperature but you gave me the weather,Error
I asked you to turn off the fan but it's still on,Error
The curtains didn’t open when I asked,Error
I asked for the news but you started playing music,Error
You set the brightness to 100% instead of 50%,Error
You misunderstood my request,Error
You failed to execute my command,Error
I asked for the weather but you gave me news,Error
You didn't play my favorite playlist,Error
You turned the lights red instead of blue,Error
I said turn off the lights but they’re still on,Error
You didn't turn off the fan as I requested,Error
I asked for Back in Black but you played something else,Error
I told you to increase the brightness but it stayed the same,Error
You gave me the wrong information,Error
The fan speed didn’t change when I asked,Error
You didn’t turn off the AC when I asked,Error
I wanted jazz music but you played rock,Error
I asked for my calendar events and got the weather instead,Error
You didn’t dim the lights as I asked,Error
The music didn’t stop when I asked you to,Error
I asked for a weather update but you played a song,Error
I asked you to open the garage but it didn’t work,Error
You didn’t activate the alarm system,Error
I wanted to hear the news but got silence,Error
You didn’t lock the doors,Error
I asked for traffic updates and you told me the news,Error
You didn’t switch off the heater,Error
The lights didn’t change color,Error
I asked for the temperature and you didn’t respond,Error
I wanted to know my reminders but you didn’t tell me,Error
You didn’t set the alarm,Error
I asked for a joke and you gave me the news,Error
I asked you to turn off the coffee maker but it's still on,Error
You didn’t turn on the outdoor lights,Error
The TV didn’t turn on,Error
I asked to lower the blinds but they are still up,Error
I wanted to listen to a podcast but you played music,Error
You didn’t answer my question,Error
The fan speed stayed the same,Error
I asked to pause the music but it kept playing,Error
You didn’t unlock the doors,Error
I asked for my emails but got nothing,Error
You didn’t turn off the oven,Error
The thermostat didn’t adjust,Error
You didn’t open the garage door,Error
I asked for my schedule and got nothing,Error
You didn’t respond to my request for a song,Error
The alarm didn’t turn off,Error
I asked for a recipe but you didn’t provide it,Error
The lights didn’t turn off,Error
I asked for the time but got no response,Error
You didn’t turn on the washing machine,Error
The blinds didn’t lower,Error
I asked for a reminder but you didn’t set it,Error
The TV volume didn’t change,Error
I asked to turn on the fan but it didn’t work,Error
You didn’t read my messages,Error
I wanted to know the date but you didn’t tell me,Error
You didn’t set the timer,Error
I asked for movie recommendations but got none,Error
The garage door didn’t close,Error
I asked for news updates but got weather,Error
You didn’t turn off the humidifier,Error
I wanted to know my tasks but got nothing,Error
You didn’t brew the coffee,Error
The air purifier didn’t start,Error
I asked for the lights to dim but they didn’t,Error
You didn’t tell me the sports scores,Error
I asked for my notes but got nothing,Error
You didn’t turn off the water heater,Error
The lights didn’t turn on,Error
I asked for music but got silence,Error
You didn’t set the temperature,Error
The curtains didn’t close,Error
I asked for the news and you gave me the weather,Error
You didn’t turn off the lights,Error
The fan didn’t turn off,Error
I asked to play a game but nothing happened,Error
You didn’t turn on the air conditioner,Error
I asked for my calendar and got nothing,Error
You didn’t start the dishwasher,Error
The TV didn’t turn off,Error
I asked for a weather update but got no response,Error
You didn’t turn off the lights in the bedroom,Error
The thermostat didn’t change,Error
I asked for a traffic update but got news,Error
You didn’t unlock the garage,Error
The oven didn’t preheat,Error
I asked to play music but nothing happened,Error
You didn’t turn off the sprinklers,Error
I wanted to hear the weather but got silence,Error
You didn’t turn on the fan in the living room,Error
The air conditioner didn’t turn off,Error
I asked for stock updates but got news,Error
You didn’t lock the front door,Error
The blinds didn’t raise,Error
I asked for a bedtime story but got music,Error
You didn’t start the washing machine,Error
The TV didn’t switch channels,Error
I asked for the temperature but got no response,Error
You didn’t turn off the fan in the bedroom,Error
The thermostat didn’t turn on,Error
I asked for the news and got nothing,Error
You didn’t turn on the lights in the kitchen,Error
The oven didn’t turn off,Error
I asked for a joke but got no response,Error
You didn’t start the vacuum cleaner,Error
The blinds didn’t close,Error
I asked for music and got nothing,Error
You didn’t turn off the lights in the living room,Error
The fan didn’t turn on,Error
I asked for a timer but it didn’t set,Error
You didn’t read my reminders,Error
The coffee maker didn’t turn off,Error
I asked for the date but got no response,Error
You didn’t open the blinds,Error
The washing machine didn’t start,Error
I asked for my tasks but got nothing,Error
You didn’t turn off the TV,Error
The blinds didn’t open,Error
I asked for the weather but got no response,Error
The fan speed didn’t change,Error
I asked for a song but you didn’t play it,Error
You didn’t turn off the AC in the bedroom,Error
The alarm didn’t set,Error
I asked for a movie recommendation but got nothing,Error
You didn’t turn on the lights in the hallway,Error
The thermostat didn’t respond,Error
I asked for a traffic update but got nothing,Error
You didn’t start the coffee maker,Error
The garage door didn’t open,Error
I asked for my calendar events but got nothing,Error
You didn’t turn off the humidifier in the bedroom,Error
The air purifier didn’t turn on,Error
I asked for music but you didn’t play it,Error
You didn’t turn off the lights in the kitchen,Error
The fan didn’t respond,Error
I asked for a weather update but got nothing,Error
You didn’t start the oven,Error
I asked for a joke and got silence,Error
Error you didn’t turn off the lights in the kitchen,Error
Error The fan didn’t respond,Error
Error I asked for a weather update but got nothing,Error
Error You didn’t start the oven,Error
Error I asked for a joke and got silence,Error
You didn’t unlock the front door,Error
The air conditioner didn’t start,Error
I asked for news updates but got nothing,Error
Damn it that wasnt right,Error
Fuck that isnt what I wanted,Error
That isnt what I wanted,Error
Thats not right,Error
That isnt what you were supposed to do,Error
Nope not correct,Error
Error log I asked for this and recieved that,Error
Thats not quite right,Error
Shit something broke,Error
Atom how did I break you?,Error
Adam are you alive,Error
Atom did you hear me?,Error
Atom try again,Error
Try again,Error
That wasnt what I asked for,Error
Hmm lets try something different,Error
alright well that didnt work,Error
You didn't follow the command correctly,Error
This isn't what I expected from you,Error
Your response was incorrect,Error
You didn't execute the task properly,Error
This outcome isn't right,Error
You need to improve your accuracy,Error
This isn't the result I was looking for,Error
Your performance needs to be better,Error
You didn't interpret the request correctly,Error
This isn't the expected behavior,Error
Your output was not as requested,Error
You didn't handle the task correctly,Error
This result is not satisfactory,Error
You need to understand the instructions better,Error
This isn't the correct response,Error
You didn't complete the task as expected,Error
Your action wasn't accurate,Error
This isn't what I programmed you to do,Error
You need to follow the instructions more closely,Error
This result is not what I wanted,Error
You didn't execute the command as expected,Error
Your response needs to be more accurate,Error
This isn't the desired outcome,Error
You need to process the instructions correctly,Error
This isn't the correct action,Error
Your performance on this task is not satisfactory,Error
You didn't follow through with the command properly,Error
This result is not what I instructed,Error
You need to improve your execution,Error
This isn't what I expected from your response,Error
Define iconoclast for me,General
Whats the weather forecast for the next fourteen days?,General
Can you find out the time in Moscow right now,General
Put on the album 25 by Adele,General
What does Ebullient mean?,General
Is it going to be hot next Sunday?,General
Define lugubrious for me,General
Set the thermostat to 68 degrees,General
Increase the brightness in the office,General
Increase the audio volume,General
Define iconoclast for me,General
Whats the weather forecast for the next fourteen days?,General
Can you find out the time in Moscow right now,General
Put on the album 25 by Adele,General
What does Ebullient mean?,General
Is it going to be hot next Sunday?,General
Define lugubrious for me,General
Set the thermostat to 68 degrees,General
Increase the brightness in the office,General
Increase the audio volume,General
Determine the date three weeks from now,General
Id like to hear my Classic Rock mix,General
Can you make it quieter?,General
What does soporific mean?,General
Define Vicissitude for me,General
How do you measure the concentration of ions in a solution?,General
Define superfluous,General
Do I need sunglasses today?,General
Lets listen to some Metallica,General
Is it going to be clear next Friday?,General
Change the color of the sunroom lights to lavender,General
Whats the current weather in London?,General
Whats the temperature in Atlanta at the moment?,General
Increase the brightness of the basement lights to 90%,General
Dim the bathroom lights to 40%,General
Whats the high for today?,General
Please make it quieter,General
Put on some rap music,General
Set the basement lights to dark green,General
Tell me the current news in environmental science,General
Change the nursery lights to a soft purple,General
Turn off the patio chandelier,General
How hot will it be tomorrow?,General
Give me an update on todays technology trends,General
How do you create a model of natural selection?,General
Change the office lights to raspberry,General
Change the hallway lights to mint,General
What does Avuncular mean?,General
Whats the weather forecast for next Sunday?,General
Define tenacity for me,General
Whats the antonym of miserable?,General
How do you measure the refractive index of a transparent material?,General
How do you create a model of cellular signal transduction?,General
Can you give me a synonym for Ebullient?,General
Queue up Bohemian Like You by The Dandy Warhols,General
Set the basement lights to lemon yellow,General
Lets listen to some indie folk,General
Give me todays update on climate change news,General
Play some The Japanese House tracks,General
Whats the weather going to be like this afternoon?,General
What are the impacts of fossil fuel combustion on climate?,General
What are the impacts of climate change on marine ecosystems?,General
What is the definition of Farrago?,General
Advance to the next song,General
How do you create a model of microbial ecosystems?,General
How do you determine the thermal conductivity of a liquid?,General
Whats the weather forecast for the next twenty-three days?,General
Is it going to be clear next week?,General
What is a synonym for whisper?,General
Dim the kitchen lights to 60%,General
What is the role of neurotransmitters in the nervous system?,General
Set the porch lights to dark blue,General
What is the function of antibodies in the immune system?,General
How do you calculate the pKa of a polyprotic acid?,General
Set the kitchen lights to soft white,General
Give me a summary of todays tech news,General
What are the principles of thermodynamics?,General
Queue the Rainy Day Jazz playlist,General
What does Recondite mean?,General
How about my Country Roads playlist?,General
Stop playing the current audio,General
What are the properties of coordination compounds?,General
Is there a severe thunderstorm warning?,General
Turn off the bedroom air purifier,General
What does Bloviate mean?,General
How do you conduct a fermentation experiment?,General
Lets hear the album Automatic for the People by REM,General
Turn on the entryway sconces,General
What are the synonyms of unique?,General
Dim the bedroom lights to 55%,General
Play classical music,General
What are the principles of metabolic pathways?,General
Will it be humid next Tuesday?,General
Whats the weather forecast for the next twenty-one days?,General
Rewind to the start,General
Could you get the time in New York for me,General
How are black holes formed?,General
Change the hallway lights to emerald,General
What are the impacts of agricultural runoff on freshwater systems?,General
What does elated mean?,General
Whats the weather forecast for the next four days?,General
Dim the hallway lights to 20%,General
What are the synonyms of smart?,General
Lets get The Shins going,General
Whats the weather like at the moment?,General
How do you measure the electrical conductivity of a material?,General
Update me on todays technology news,General
What are the principles of immunology?,General
Turn on the dresser lamp in the master bedroom,General
Give me synonyms for quick,General
Rewind the track and play again,General
Provide the time in Tokyo,General
Adjust the volume to 95,General
How do you measure the speed of sound?,General
What is the definition of recalcitrant?,General
How do you measure the thermal conductivity of a material?,General
Whats the current barometric pressure in Atlanta?,General
Whats the weather like in Denver right now?,General
What is the role of ribosomes in protein synthesis?,General
Set the bedroom lights to lavender,General
Dim the dining room lights to 60%,General
Stop the audio now,General
Turn on the patio lights,General
How do you calculate the vapor pressure of a liquid?,General
Update me on todays innovations in biotechnology,General
Set the office lights to teal,General
Increase the brightness of the nursery lights to 85%,General
Tell me the latest in medical research news,General
What are the impacts of oil spills on marine ecosystems?,General
Set an alarm for the start of the workday at 9 AM,General
What is the definition of Nostrum?,General
Will it be rainy this afternoon?,General
What does obfuscate mean?,General
Can you give me a synonym for perceptive?,General
How do you conduct a chemical titration?,General
Is it going to rain tonight?,General
What is a synonym for harmful?,General
How do you conduct a cytotoxicity assay?,General
Set the living room lights to mint green,General
How do you create a climate model?,General
Is it going to be clear next Thursday?,General
Should I wear layers tomorrow?,General
Turn on the sunroom lights,General
Give me todays scientific news highlights,General
How do you calculate the molar mass of a compound?,General
What is an antonym of Lagniappe?,General
Increase the brightness of the nursery lights to 95%,General
Whats the temperature forecast for next Sunday?,General
Raise the sound volume,General
Whats the antonym of sad?,General
What does sagacious mean?,General
Set the volume to 95,General
What are the effects of endocrine disruptors on reproductive health?,General
Set the volume to 5,General
Turn down the music volume,General
Play Dreams by Fleetwood Mac,General
Set the living room lamps to teal,General
What is the definition of laconic?,General
Dim the kitchen lights to 30%,General
How does a nuclear reactor generate power?,General
Play Music,General
Turn right side lamp on,General
Turn mirror purple,General
Turn on bedroom,General
Maximum lighting,General
Low Lighting,General
Its time,General
Lower the lights,General
Turn the fan to speed,General
Turn off the lights,General
Set my reading light,General
Play my playlist,General
Play my loose screws playlist,General
Can you stop the music?,General
Play the album Voodoo Lounge by The Rolling Stones,General
Lets get The Shins going,General
Give me my Pop Hits mix,General
Play funk music,General
Move forward to the next track,General
Bring the audio down,General
Shuffle Wild West/ Dark Country playlist,General
Can you play Shape of You by Ed Sheeran,General
Play some Post Malone songs,General
Play the album The Wall,General
Stop the song,General
Tone the volume down,General
Lower the audio output,General
Lets listen to some AC/DC songs,General
Play the album American Idiot by Green Day,General
Can you play Shape of My Heart by Sting?,General
Pause the track,General
Skip ahead one track,General
I want to hear Rocket Man by Elton John,General
Stop all audio playback,General
Shuffle my Evening Relaxation playlist,General
Spin my Funk Favorites playlist,General
"Volume down, please",General
Play Uptown Funk by Mark Ronson,General
Queue up some romantic classical music,General
Set the volume to 60,General
Play the album Rumours,General
Increase the audio volume,General
Play Sweet Caroline by Neil Diamond,General
Rewind to the first note and play again,General
Bring the music volume down,General
Lets listen to some Kacey Musgraves,General
Skip to the next track,General
Turn the volume up to 60,General
Id love to listen to my Indie Favorites playlist,General
Lower the music slightly,General
I want to hear HUMBLE by Kendrick Lamar,General
Play Wake Me Up by Avicii,General
Quiet it down a notch,General
Skip it,General
I want to listen to the album Achtung Baby by U2,General
Play some Fleetwood Mac classics,General
Id like to hear my Classic Rock mix,General
Play some The Shins songs,General
Play some The War on Drugs songs,General
Turn the sound a bit lower,General
"Next one, please",General
Lower the music volume,General
Reduce the audio sound,General
Play some R and B,General
Play some k-pop,General
Lets listen to Kendrick Lamar,General
Play my Workout Hits playlist,General
Listen to Nuthin but a G Thang by Dr Dre,General
Rewind this song to the start,General
Replay this track,General
Shuffle Teach relativity to your dog playlist,General
Pause the tunes now,General
I want to listen to the album 1989 by Taylor Swift,General
Please skip ahead,General
Please stop the music,General
Rewind to the start and replay,General
I want to listen to the album Blue and Lonesome by The Rolling Stones,General
Play some R and B music,General
Rewind the previous song,General
Turn the volume down,General
I want to listen to the album Hotel California by Eagles,General
Reduce the audio,General
Lets listen to some Vivaldi,General
Replay it,General
Play some New Order,General
Replay the music from the start,General
Queue up Lose Yourself by Eminem,General
Play the album Melodrama by Lorde,General
Play some Fleetwood Mac,General
Turn up the sound a little,General
Make the audio sound lower,General
Pump up the volume,General
Play Get Lucky by Daft Punk,General
Play this tune from the start,General
Lower the music intensity,General
Play some childrens music,General
Turn the volume to 70,General
Play Golden Age by Late Night Episode,General
Lets listen to some blues,General
Play punk music,General
Give me some Bear Hands,General
Play some punk music,General
Play Entertainment by Phoenix,General
Play some chill tracks,General
Lets hear the album Madman Across the Water by Elton John,General
Spin some indie rock,General
Put on the album 25 by Adele,General
Play my Study Session playlist,General
Can you turn it down?,General
Go back to the beginning,General
Stop the current tune,General
Lets hear the album 4 by Beyoncé,General
Crank the music loud,General
Can you stop the music?,General
Play the album Voodoo Lounge by The Rolling Stones,General
Lets get The Shins going,General
Give me my Pop Hits mix,General
Play funk music,General
Move forward to the next track,General
Bring the audio down,General
Shuffle Wild West/ Dark Country playlist,General
Can you play Shape of You by Ed Sheeran,General
Play some Post Malone songs,General
Play the album The Wall,General
Stop the song,General
Tone the volume down,General
Lower the audio output,General
Lets listen to some AC/DC songs,General
Play the album American Idiot by Green Day,General
Can you play Shape of My Heart by Sting?,General
Pause the track,General
Skip ahead one track,General
I want to hear Rocket Man by Elton John,General
Stop all audio playback,General
Shuffle my Evening Relaxation playlist,General
Spin my Funk Favorites playlist,General
"Volume down, please",General
Play Uptown Funk by Mark Ronson,General
Queue up some romantic classical music,General
Set the volume to 60,General
Play the album Rumours,General
Increase the audio volume,General
Play Sweet Caroline by Neil Diamond,General
Rewind to the first note and play again,General
Bring the music volume down,General
Lets listen to some Kacey Musgraves,General
Skip to the next track,General
Turn the volume up to 60,General
Id love to listen to my Indie Favorites playlist,General
Lower the music slightly,General
I want to hear HUMBLE by Kendrick Lamar,General
Play Wake Me Up by Avicii,General
Quiet it down a notch,General
Skip it,General
I want to listen to the album Achtung Baby by U2,General
Play some Fleetwood Mac classics,General
Id like to hear my Classic Rock mix,General
Play some The Shins songs,General
Play some The War on Drugs songs,General
Turn the sound a bit lower,General
"Next one, please",General
Lower the music volume,General
Reduce the audio sound,General
Play some R and B,General
Play some k-pop,General
Lets listen to Kendrick Lamar,General
Play my Workout Hits playlist,General
Listen to Nuthin but a G Thang by Dr Dre,General
Rewind this song to the start,General
Replay this track,General
Shuffle Teach relativity to your dog playlist,General
Pause the tunes now,General
I want to listen to the album 1989 by Taylor Swift,General
Please skip ahead,General
Please stop the music,General
Rewind to the start and replay,General
I want to listen to the album Blue and Lonesome by The Rolling Stones,General
Play some R and B music,General
Rewind the previous song,General
Turn the volume down,General
I want to listen to the album Hotel California by Eagles,General
Reduce the audio,General
Lets listen to some Vivaldi,General
Replay it,General
Play some New Order,General
Replay the music from the start,General
Queue up Lose Yourself by Eminem,General
Play the album Melodrama by Lorde,General
Play some Fleetwood Mac,General
Turn up the sound a little,General
Make the audio sound lower,General
Pump up the volume,General
Play Get Lucky by Daft Punk,General
Play this tune from the start,General
Lower the music intensity,General
Play some childrens music,General
Turn the volume to 70,General
Play Golden Age by Late Night Episode,General
Lets listen to some blues,General
Play punk music,General
Give me some Bear Hands,General
Play some punk music,General
Play Entertainment by Phoenix,General
Play some chill tracks,General
Lets hear the album Madman Across the Water by Elton John,General
Spin some indie rock,General
Put on the album 25 by Adele,General
Play my Study Session playlist,General
Can you turn it down?,General
Go back to the beginning,General
Stop the current tune,General
Lets hear the album 4 by Beyoncé,General
Crank the music loud,General
Please make it less loud,General
Play some j-rock,General
Amplify the sound,General
Please pause playback,General
Play Post Break-Up Sex by The Vaccines,General
Play this again from the start,General
Play grunge music,General
Play the album Rocketman: Music from the Motion Picture by Elton John,General
Lets listen to some indie folk,General
Shuffle my Road Trip Classics playlist,General
You didn’t open the curtains in the basement,Error
The music didn’t stop,Error
error the curtains didn’t open,Error
The lights didn’t dim,Error
The vacuum cleaner didn’t start,Error
The humidifier didn’t turn on,Error
The water heater didn’t turn off,Error
The lights didn’t brighten,Error
Error The alarm system didn’t activate,Error
The music didn’t play,Error
The lights didn’t respond,Error
The air purifier didn’t turn off,Error
The fan speed didn’t increase,Error
The alarm didn’t disarm,Error
The heater didn’t turn off,Error
The washing machine didn’t turn off,Error
The vacuum cleaner didn’t stop,Error
The humidifier didn’t turn off,Error
The thermostat didn’t cool,Error
The water heater didn’t start,Error
Error The lights didn’t adjust,Error
The alarm system didn’t deactivate,Error
The fan didn’t change speed,Error
You didn’t turn off the TV in the garage,Error
The blinds didn’t open in the basement,Error
Error You didn’t turn on the outdoor lights in the attic,Error
The fan didn’t turn off in the dining room,Error
You didn’t turn on the vacuum cleaner in the living room,Error
The fan didn’t respond in the basement,Error
You didn’t start the oven in the dining room,Error
Error The blinds didn’t close in the hallway,Error
I asked for a joke and got no response,Error
Error,Error
Error that wasnt right,Error
Not quite what i wanted,Error
You didnt,Error
You did not,Error
You should have,Error
The air conditioner didn’t cool the room in the living room,Error
The alarm system didn’t respond in the bedroom,Error
The fan didn’t change speed in the office,Error
Error The garage door didn’t shut in the nursery,Error
The music didn’t change tracks in the dining room,Error
Error The coffee maker didn’t turn on in the office,Error
The oven didn’t start in the nursery,Error
The blinds didn’t move in the hallway,Error
The air purifier didn’t work in the garage,Error
You didn’t turn off the water heater in the garage,Error
The lights didn’t turn off in the hallway,Error
Error I asked for a song but you didn’t respond,Error
Error You didn’t turn on the TV in the living room,Error
The thermostat didn’t adjust the temperature,Error
I asked for the news but you didn’t provide it,Error
You didn’t start the dishwasher in the kitchen,Error
The TV didn’t turn on in the bedroom,Error
I asked for the weather but you didn’t respond,Error
You didn’t turn off the fan in the living room,Error
You didn’t turn off the lights in the garage,Error
Error The fan speed didn’t change in the bedroom,Error
I asked for a timer but you didn’t set it,Error
You didn’t read my emails,Error